,user_id,business_id,stars,state,pred_context,pred_factor,rev_count,opt_alpha
0,vwmaAnzmu-ygKxXtJMimAg,6z-T_jIFrRQ4c6-BIvVBvA,4.0,ON,3.872326266720752,3.222082698216667,11,1.0
1,vwmaAnzmu-ygKxXtJMimAg,IJZrpASpveRG_BZAnP_z3w,1.0,ON,3.3645589014661708,2.755426824324524,11,0.0
2,vwmaAnzmu-ygKxXtJMimAg,N93EYZy9R0sdlEvubu94ig,5.0,ON,4.478210743791922,4.3418534443639585,11,1.0
3,vwmaAnzmu-ygKxXtJMimAg,OyGVzgBL6W7SJOE046pecA,3.0,ON,3.530797108432541,3.582985270249308,11,1.0
4,vwmaAnzmu-ygKxXtJMimAg,X8Fd5t3l8ksyacTQDKsUPw,4.0,ON,3.7403964923140967,3.879974284914289,11,0.0
5,vwmaAnzmu-ygKxXtJMimAg,aTvzqD5Kot4vp3vOnDyrTw,4.0,ON,3.326239376514052,3.4621573977732725,11,0.0
6,vwmaAnzmu-ygKxXtJMimAg,nZ4HW543eDyqqE62QYnChg,4.0,ON,4.4426766556688895,3.5271547862797625,11,0.5164761536889761
7,vwmaAnzmu-ygKxXtJMimAg,pWy-sZB1s_-ypb8qydreLQ,3.0,ON,3.4411940138195733,3.2149924506885807,11,0.0
8,vwmaAnzmu-ygKxXtJMimAg,t0edCFMUYmFSN_eXT4HrnQ,4.0,ON,4.4615586197547845,3.5694885681897497,11,0.4825982343594735
9,rgOqh4ffNudqBDDTHlXFeg,1kfUwCNufdkEtxOOo6CDLA,5.0,AZ,3.7909790326183854,3.985205669207556,101,0.0
10,rgOqh4ffNudqBDDTHlXFeg,3MdLnbpkvTcsKkMszUv_3g,5.0,AZ,3.702572457344278,4.72608187010145,101,0.0
11,rgOqh4ffNudqBDDTHlXFeg,4iFYsHDzkuf3JjSzhaNd2g,1.0,AZ,2.7184371399052103,4.5859733407694465,101,1.0
12,rgOqh4ffNudqBDDTHlXFeg,7CzA5GqrELLJyRoaJQhlGA,5.0,AZ,3.988378377064647,4.1185034817585375,101,0.0
13,rgOqh4ffNudqBDDTHlXFeg,9LsLAyuYdV9TZ4bcQ_P5EA,5.0,AZ,2.91777624689446,5.0,101,-0.0
14,rgOqh4ffNudqBDDTHlXFeg,EjklATg4aNBWINenUySCgQ,4.0,AZ,4.380209849069671,4.687012952719502,101,1.0
15,rgOqh4ffNudqBDDTHlXFeg,FYiNQMA6aA2qdKRbfFtUuw,3.0,AZ,3.3022414118014582,4.106287572991318,101,1.0
16,rgOqh4ffNudqBDDTHlXFeg,IZGScOzLHWk0OvXm95rG5g,5.0,AZ,3.0144750229998936,4.738721507649832,101,0.0
17,rgOqh4ffNudqBDDTHlXFeg,LLWOrt8Vo5kyA9qeo-Y76g,4.0,AZ,3.8389302042529216,4.046404859958304,101,0.22366519804809015
18,rgOqh4ffNudqBDDTHlXFeg,PhMfnMldVKXo7HqHw6DSrg,5.0,AZ,4.174889178128933,4.898010147732495,101,0.0
19,rgOqh4ffNudqBDDTHlXFeg,U05TASwKPZ-BWe5GWekUlw,4.0,AZ,4.229133600050931,3.883106627644462,101,0.3378157822281741
20,rgOqh4ffNudqBDDTHlXFeg,VH2BjFjc9usDquDgoHhptA,5.0,OH,5.0,4.054881940407603,101,1.0
21,rgOqh4ffNudqBDDTHlXFeg,VoayviMR2sm4C0CSh_I8Nw,5.0,AZ,3.784272773755759,3.943910433348942,101,0.0
22,rgOqh4ffNudqBDDTHlXFeg,WlX3JXeuLHm6-MLfGL_eOA,5.0,AZ,2.8794247976907537,4.870866645336959,101,0.0
23,rgOqh4ffNudqBDDTHlXFeg,Wq9yflrKX79xKiY__BvCoQ,5.0,NV,4.267372913974505,4.753911397605858,101,0.0
24,rgOqh4ffNudqBDDTHlXFeg,ZRHSidI7IIeXhTHMc9L_gw,4.0,AZ,4.179351067602453,3.3059156888078274,101,0.7946601752610887
25,rgOqh4ffNudqBDDTHlXFeg,ZhO6_8Vc-zfRxvDDvDBynA,4.0,AZ,4.191990783246856,3.9201866796829568,101,0.2936428084437643
26,rgOqh4ffNudqBDDTHlXFeg,_reykENmCBh03iczpFAufg,5.0,AZ,3.560051395204446,4.182351264963872,101,0.0
27,rgOqh4ffNudqBDDTHlXFeg,aXRrMXXoAN7lawHICgmsxw,4.0,AZ,4.671468229689963,4.8275872868233085,101,1.0
28,rgOqh4ffNudqBDDTHlXFeg,aZLggARpUrEpdalQqPUI0Q,5.0,NV,3.8648298785488464,4.231877706614203,101,0.0
29,rgOqh4ffNudqBDDTHlXFeg,dWffjh0V6htC26wfPr8_Ug,4.0,AZ,4.049672481418996,4.046739362089442,101,0.0
30,rgOqh4ffNudqBDDTHlXFeg,dYU5hXVyPsm7C-T-13I_YQ,5.0,AZ,3.587758439971318,4.166402857576707,101,0.0
31,rgOqh4ffNudqBDDTHlXFeg,e9XoOv-j4ceTVN9seUckPA,5.0,AZ,4.184131689271009,4.35725202115412,101,0.0
32,rgOqh4ffNudqBDDTHlXFeg,gLOc1Fzl8yuKGq7B1TWj_A,4.0,AZ,3.0663647217801238,3.635934900116458,101,0.0
33,rgOqh4ffNudqBDDTHlXFeg,gio48on8yQyFW1fJ1dChGg,4.0,AZ,3.7071129444304614,4.0946893174712375,101,0.24431137720893903
34,rgOqh4ffNudqBDDTHlXFeg,jyTtTFa169XYSD5KRMQsHg,4.0,AZ,4.061970997189843,4.135832090137652,101,1.0
35,rgOqh4ffNudqBDDTHlXFeg,nu5qpsddW1MIINqNPpKeKQ,4.0,AZ,3.3724349555966846,4.1058400346075965,101,0.14431320103527912
36,rgOqh4ffNudqBDDTHlXFeg,pwbgU5lhfTg6ZasbJnRsuA,3.0,AZ,3.6860868905908464,4.09824933820125,101,1.0
37,rgOqh4ffNudqBDDTHlXFeg,qFqueIKCVF5PlXmjl1YY9Q,5.0,AZ,4.828702526708769,4.807676017743471,101,1.0
38,rgOqh4ffNudqBDDTHlXFeg,r6cTbsmg4MhdHJnKWwefVw,5.0,AZ,5.0,4.137939493769172,101,1.0
39,rgOqh4ffNudqBDDTHlXFeg,s5jo4xojsezzl8TKP7XKtQ,3.0,AZ,3.0063114423675223,4.5353372583284255,101,1.0
40,rgOqh4ffNudqBDDTHlXFeg,udiQT2q10DHlGRqh0yEXCg,5.0,AZ,3.178162282964553,3.2962503762980093,101,0.0
41,rgOqh4ffNudqBDDTHlXFeg,vK1_qKEG7zHvjiTOsN0CRg,5.0,AZ,4.587347365513256,4.552513845665887,101,1.0
42,rgOqh4ffNudqBDDTHlXFeg,vMnB2Cz3c1Io1IEyeLLVOA,5.0,AZ,3.304027034982192,4.444698276940163,101,0.0
43,rgOqh4ffNudqBDDTHlXFeg,wJiC71DNRiUBQAede-qVEw,3.0,AZ,4.553282340490591,4.2861060949083365,101,0.0
44,rgOqh4ffNudqBDDTHlXFeg,xfCgxY_SQfzxFsQjNiLJEQ,5.0,OH,4.12050689387467,4.918614806774201,101,0.0
45,oXm1Hb4ByU05_SKpVGC44Q,lmxA0dJM0XsPCIHPXhEQ-g,4.0,NV,5.0,4.058643570298413,6,0.0
46,oXm1Hb4ByU05_SKpVGC44Q,r0LgymS8idM1K2exNl-CGg,4.0,NV,4.566047294283036,3.9336098077092765,6,0.10497510615696333
47,iJJcWI5s5smJdaWkVKSAlQ,FrfzI901uS2bU2kgUkqaVw,4.0,NC,4.859353272935147,4.267143748085154,88,0.0
48,iJJcWI5s5smJdaWkVKSAlQ,Uftnd7njdHNFxhz_6rpUrA,4.0,NC,5.0,4.624754738455648,88,0.0
49,iJJcWI5s5smJdaWkVKSAlQ,dztcNrIVDg6D-6sFOOofDA,4.0,NC,3.930420474704984,4.248398280493028,88,0.7811811892890538
50,iJJcWI5s5smJdaWkVKSAlQ,osSwv6CJy5hDKQdOKeyTow,5.0,NC,3.7839569107422575,4.135608333310063,88,0.0
